,,Mg/Ca,Mg/Ca,Mg/Ca,d18O,d18O,d18O,depthrange,depthrange,ddate,sal,sal,sal,d18Ow,d18Ow,d18Ow,Ctemp_min,Ctemp_min,Ctemp_min,Ctemp_max,Ctemp_max,Ctemp_max,Ctemp_mid,Ctemp_mid,Ctemp_mid
size_fraction,,250-350,350-500,500-1000,250-350,350-500,500-1000,min,max,,min,max,mid,min,max,mid,250-350,350-500,500-1000,250-350,350-500,500-1000,250-350,350-500,500-1000
,Date,,,,,,,,,,,,,,,,,,,,,,,,
G. hirsuta,1981-04-01,,1.41,,,1.23,,500.0,800.0,4108,36.23+/-0.09,35.42+/-0.09,35.83+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,14.53+/-0.22,nan+/-nan,nan+/-nan,12.61+/-0.21,nan+/-nan,nan+/-nan,13.58+/-0.21,nan+/-nan
G. hirsuta,1981-06-01,,1.54,,,0.8,,500.0,800.0,4169,36.23+/-0.09,35.41+/-0.09,35.83+/-0.09,0.95+/-0.05,0.50+/-0.05,0.73+/-0.05,nan+/-nan,16.38+/-0.22,nan+/-nan,nan+/-nan,14.43+/-0.21,nan+/-nan,nan+/-nan,15.42+/-0.22,nan+/-nan
G. hirsuta,1982-03-01,,1.67,,,1.31,,500.0,800.0,4442,36.22+/-0.09,35.41+/-0.09,35.82+/-0.09,0.95+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,14.17+/-0.21,nan+/-nan,nan+/-nan,12.26+/-0.21,nan+/-nan,nan+/-nan,13.23+/-0.21,nan+/-nan
G. hirsuta,1982-05-01,,1.66,,,1.31,,500.0,800.0,4503,36.22+/-0.09,35.41+/-0.09,35.82+/-0.09,0.95+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,14.16+/-0.21,nan+/-nan,nan+/-nan,12.26+/-0.21,nan+/-nan,nan+/-nan,13.22+/-0.21,nan+/-nan
G. hirsuta,1982-07-01,,1.35,,,1.26,,500.0,800.0,4564,36.22+/-0.09,35.40+/-0.09,35.82+/-0.09,0.95+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,14.37+/-0.21,nan+/-nan,nan+/-nan,12.46+/-0.21,nan+/-nan,nan+/-nan,13.43+/-0.21,nan+/-nan
G. hirsuta,1983-02-01,,1.62,,,1.05,,500.0,800.0,4779,36.21+/-0.09,35.40+/-0.09,35.81+/-0.09,0.94+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,15.26+/-0.22,nan+/-nan,nan+/-nan,13.33+/-0.21,nan+/-nan,nan+/-nan,14.31+/-0.21,nan+/-nan
G. hirsuta,1983-04-01,,1.48,,,1.14,,500.0,800.0,4838,36.21+/-0.09,35.40+/-0.09,35.81+/-0.09,0.94+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,14.87+/-0.22,nan+/-nan,nan+/-nan,12.95+/-0.21,nan+/-nan,nan+/-nan,13.93+/-0.21,nan+/-nan
G. hirsuta,1983-06-01,,1.82,,,0.92,,500.0,800.0,4899,36.21+/-0.09,35.40+/-0.09,35.81+/-0.09,0.94+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,15.82+/-0.22,nan+/-nan,nan+/-nan,13.88+/-0.21,nan+/-nan,nan+/-nan,14.86+/-0.22,nan+/-nan
G. hirsuta,1983-08-01,,1.72,,,0.9,,500.0,800.0,4960,36.21+/-0.09,35.40+/-0.09,35.81+/-0.09,0.94+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,15.91+/-0.22,nan+/-nan,nan+/-nan,13.96+/-0.21,nan+/-nan,nan+/-nan,14.95+/-0.22,nan+/-nan
G. hirsuta,1984-02-01,,1.39,,,0.94,,500.0,800.0,5144,36.21+/-0.09,35.40+/-0.09,35.81+/-0.09,0.94+/-0.05,0.49+/-0.05,0.72+/-0.05,nan+/-nan,15.73+/-0.22,nan+/-nan,nan+/-nan,13.79+/-0.21,nan+/-nan,nan+/-nan,14.77+/-0.22,nan+/-nan
